question,answer,category
My Roomba won't turn on — what should I do?,"Place it on the Home Base and let it charge for at least 2 hours. If it still does not power on, hold the CLEAN button for 10 seconds to perform a soft reset. If the problem persists, the battery likely needs to be replaced.",Troubleshooting
Roomba keeps getting stuck — how do I fix this?,"Clear the area of loose cables, rug fringe, and small objects. Use Virtual Wall Barriers or Keep Out Zones to steer the robot away from problem spots. Ensure thick carpet edges are not trapping the robot's wheels.",Troubleshooting
My Roomba is spinning in circles — what is wrong?,"Circular spinning usually indicates a dirty or jammed side brush or a malfunctioning cliff sensor. Remove and clean the side brush and wipe the cliff sensors with a dry cloth. If the problem continues, perform a factory reset.",Troubleshooting
How do I factory reset my Roomba?,"Press and hold the CLEAN button for 20 seconds until you hear a tone and the light ring swirls. The robot restarts with factory defaults. Note that this erases all Smart Maps and scheduling data.",Troubleshooting
My Roomba says the dustbin is full but I just emptied it — what do I do?,"The full-bin sensors may be dirty. Remove the dustbin and clean the small sensor lenses on both the robot and the dustbin with a dry cloth. Reinstall the dustbin and ensure it clicks fully into place.",Troubleshooting
What do Roomba error lights and beeps mean?,"Roomba uses voice announcements on newer models and blink patterns on older ones to communicate error codes. Consult the error guide in the iRobot Home app or the printed user manual. Common errors include a jammed side brush, cliff sensor fault, or wheel drop.",Troubleshooting
Why is Roomba not returning to the Home Base?,"Verify the Home Base is powered (the indicator light should be on) and placed in an open area with no obstacles blocking the front. Clean the IR sensor on the Home Base and the dock sensor on the robot's bumper, then start a new cleaning session.",Troubleshooting
My Roomba's map in the app looks wrong — how do I fix it?,"Use the Edit Map feature in the iRobot Home app to adjust room boundaries and labels. If the map is severely inaccurate, delete it and allow the robot to generate a new map over 3–5 cleaning sessions.",Troubleshooting
How long does the Roomba battery last per charge?,"Battery life varies by model and floor type. Most Roomba models run 60–120 minutes per charge. The i-series and j-series typically last about 75 minutes; the s9+ runs up to 120 minutes. The robot returns to the Home Base automatically when battery is low.",Battery & Charging
How do I know when Roomba is fully charged?,"The indicator light or ring light turns solid white or green when fully charged, depending on the model. A full charge from a depleted state takes approximately 2–3 hours.",Battery & Charging
Can I leave Roomba on the Home Base all the time?,"Yes. Keeping Roomba on the Home Base between sessions is recommended. The charger uses smart-charging technology to maintain battery health and will not overcharge the battery.",Battery & Charging
My Roomba battery drains very quickly — what should I do?,"Clean the charging contacts on the robot and dock. Avoid storing the Roomba in extreme temperatures. If the battery no longer holds a useful charge after approximately 18 months of regular use, purchase a genuine iRobot replacement battery.",Battery & Charging
Does Roomba automatically recharge and resume cleaning?,"Yes, on i-series, j-series, and s-series models. When the battery is low mid-session, the robot returns to the Home Base, recharges to a sufficient level, and then resumes cleaning where it left off.",Battery & Charging
Can I use a third-party replacement battery?,"iRobot recommends using only genuine iRobot replacement batteries. Third-party batteries may deliver lower performance or shorter lifespan and can void the warranty.",Battery & Charging
Is Roomba compatible with Amazon Alexa?,"Most Wi-Fi-enabled Roomba models including the 600, 900, e, i, j, and s series work with Amazon Alexa. Enable the iRobot skill in the Alexa app and link your iRobot account to use voice commands.",Compatibility
Does Roomba support Apple HomeKit?,"As of 2025, Roomba does not support Apple HomeKit natively. You can create Siri Shortcuts through the iRobot Home app for basic voice commands, but full HomeKit integration is not available.",Compatibility
Can Roomba work with the iRobot Braava mop?,"Yes. Through the iRobot Home app you can pair compatible Roomba and Braava models as a cleaning team. Roomba vacuums first, then automatically sends a signal to Braava to begin mopping when the vacuuming session is complete.",Compatibility
What Wi-Fi frequency does Roomba require?,"Most Roomba models connect to 2.4 GHz Wi-Fi only. Some newer models also support 5 GHz. If you have connection issues during setup, switch your phone to the 2.4 GHz network and verify your model's specifications on the iRobot website.",Compatibility
What warranty does iRobot offer on Roomba?,"iRobot provides a 1-year limited warranty on new Roomba robots purchased from authorized retailers, covering defects in materials and workmanship under normal use. Certified Refurbished units typically carry a 90-day warranty.",Warranty & Support
How do I register my Roomba for warranty?,"Register during the iRobot Home app setup process, or visit homesupport.irobot.com and enter your robot's serial number. Registration is recommended to streamline any future warranty claims.",Warranty & Support
How do I contact iRobot customer support?,"Reach iRobot support at homesupport.irobot.com, by phone at 1-877-855-8593 (US), or via live chat on the iRobot website. Support hours are Monday–Friday 9 am–9 pm ET and Saturday–Sunday 9 am–6 pm ET.",Warranty & Support
My Roomba is out of warranty — can it still be repaired?,"Yes. iRobot offers out-of-warranty repair services, and replacement parts such as batteries, brushes, filters, and wheels are sold on the iRobot website and major retailers. The iRobot Home app also provides self-service troubleshooting guides.",Warranty & Support
